article_id,accident_id,date_time,accident_type,car_type,location,road_name,text_start_char,text_end_char
496855,0,2024-12-11 00:00:00,collision,,Triq il-Kappella,,0,490
496856,0,2025-01-06 00:00:00,collision,,Nepal,,0,835
496857,0,2025-07-27 00:00:00,collision,,"Hompesch Street, Marsascala",Hompesch Street,0,1054
496858,0,2025-05-26 15:00:00,collision,,"Triq ic-Cern, Msida",Magistrate Dr,0,578
496859,0,2025-10-02 08:00:00,collision,motorcycle,Triq L-Imgarr,,0,584
496860,0,2025-01-15 00:00:00,collision,,"Blue Grotto Avenue, Zurrieq",Blue Grotto Avenue,0,457
496861,0,2025-02-24 00:00:00,collision,,Triq il-Marfa,,0,429
496861,1,2025-02-25 00:00:00,collision,motorcycle,Santa Venera,,429,1022
496862,0,2025-04-26 00:00:00,motorcycle_fall,motorcycle,Floriana,,0,428
496863,0,2024-12-13 00:00:00,collision,,Triq il-Marfa,Magistrate Dr,0,595
496864,0,2025-09-28 00:00:00,collision,van,Marsascala,,0,474
496865,0,2025-10-04 00:00:00,collision,,Mellieha,,0,562
496866,0,2025-10-04 00:00:00,collision,motorcycle,St Paul's,resident in St,0,606
496867,0,2025-08-22 08:00:00,collision,car,Msida,old woman from St,0,844
496868,0,2025-04-06 00:00:00,collision,motorcycle,Triq Zaghfran,Magistrate Dr,0,583
496869,0,2025-05-02 00:00:00,collision,,Triq ix-Xaghra,,0,725
496870,0,2025-07-14 00:00:00,collision,motorcycle,,,0,469
496871,0,2025-08-31 00:00:00,collision,,Cottoner Avenue,Cottoner Avenue,0,470
496872,0,2025-02-08 00:00:00,motorcycle_fall,van,Triq ir-Rabat,,0,709
496873,0,2024-12-11 00:00:00,collision,motorcycle,Mellieha,skip which was stationary on the road,0,710
496874,0,2025-02-09 21:00:00,collision,,Zurrieq,,0,971
496875,0,2025-04-13 00:00:00,collision,,Msida,,0,538
496876,0,2025-08-26 00:00:00,collision,motorcycle,"Attard Road, Zebbug",Attard Road,0,475
496877,0,2025-01-22 00:00:00,collision,motorcycle,Triq Rodolfu,,0,557
496878,0,2025-06-19 15:00:00,collision,,Pinto Wharf,,0,554
496879,0,2025-02-05 00:00:00,motorcycle_fall,motorcycle,Vjal L-Istadium,,0,442
496880,0,2024-12-19 00:00:00,collision,car,Triq il-Germanja,Magistrate Dr,0,626
496881,0,2025-03-16 00:00:00,collision,,"Vjal il-Helsien, Zebbug",,0,589
496882,0,2025-07-17 00:00:00,collision,car,Triq il-Wied ta',,0,542
496883,0,2025-08-12 00:00:00,collision,,St Luke's,traffic accident in St,0,723
