article_id,accident_id,date_time,accident_type,car_type,location,road_name,text_start_char,text_end_char
493044,0,2025-09-07 15:00:00,collision,,"Triq l-Ewwel Titjira, Luqa.",,0,539
493372,0,2025-09-11 08:00:00,motorcycle_fall,motorcycle,"Wottan Storm, Msida",Wottan Storm,0,407
493542,0,2025-09-12 15:00:00,collision,car,Marsa,corner at the top of the street,0,1352
493598,0,2025-09-12 15:00:00,collision,car,Marsa,,0,555
493702,0,2025-09-14 00:00:00,unknown,bike,Zabbar,,0,723
493664,0,2025-09-13 21:00:00,collision,car,"Triq il-Perit, Paola",,0,501
493670,0,2025-09-13 21:00:00,unknown,,,,0,86
493670,1,2025-09-14 23:00:00,collision,car,the St Paul's,the St Paul's,86,345
493670,2,2025-09-14 01:30:00,collision,motorcycle,"Demio, Msida",,346,796
493898,0,2025-09-16 15:00:00,collision,car,"Republic Street, Victoria",Republic Street,0,316
493983,0,2025-09-16 18:00:00,collision,car,Zabbar,,0,536
494102,0,2025-09-17 00:00:00,collision,car,St Paul's,minor road,0,3568
494209,0,2025-09-18 18:00:00,collision,car,"Triq San Gwann, 8.45pm",,0,766
494363,0,2025-09-20 13:30:00,collision,bike,Gozo,,0,826
494368,0,2025-09-20 13:30:00,collision,motorcycle,Gozo,,0,1157
494438,0,2025-09-21 08:30:00,collision,car,Sliema,,0,242
494571,0,2025-09-22 18:00:00,collision,motorcycle,San Gwann,Bella Vista Street,0,356
494727,0,2025-09-24 08:00:00,collision,car,Gozo,,0,292
494856,0,2025-09-25 15:00:00,collision,motorcycle,Rabat,old man from St,0,505
494910,0,2025-09-25 18:00:00,collision,car,Marsascala,,0,516
495320,0,2025-09-30 00:00:00,collision,car,Naxxar Road,Naxxar Road,0,1384
495442,0,2025-10-02 15:00:00,rollover,car,,,0,64
495442,1,2025-10-02 00:00:00,collision,bus,,Police said that the road,64,543
495504,0,2025-10-02 08:00:00,collision,bike,Qala,Police investigations are under way,0,498
495595,0,2025-10-02 16:20:00,run-off-road,car,Croatia,tragic road accident in Croatia when their car veered off the road,0,1044
495731,0,2025-10-02 15:00:00,collision,car,"Adriatic Coast, Croatia",Adriatic Coast,0,2589
495807,0,2025-10-04 23:00:00,collision,car,the Gudja Bypass,crash in the opposite lane,0,776
495802,0,2025-10-05 08:00:00,collision,car,"the South of India, Malta",St Vincent de Paul Residence,0,3641
495896,0,2025-10-02 00:00:00,collision,car,"Europe, Croatia",state road,0,2123
495942,0,2025-10-06 00:00:00,collision,car,Santa Venera,narrow street,0,2462
496006,0,2025-10-07 15:00:00,collision,car,Saqqajja Hill,The accident happened on the roundabout,0,1260
495969,0,2025-10-07 08:00:00,collision,car,Kerala,car while crossing the road,0,2118
496158,0,2025-10-04 09:30:00,collision,car,"Adriatic, Croatia",Adriatic,0,3583
496202,0,2025-10-09 08:00:00,collision,car,Zurrieq,,0,696
496362,0,2025-10-10 09:00:00,collision,,Qala,along that stretch of road,0,1231
496362,1,2025-10-10 08:00:00,unknown,,Triq l- Imgarr,,1232,1582
496773,0,2025-10-09 00:00:00,collision,bike,Zurrieq,Magistrate Dr,0,644
496774,0,2025-06-19 00:00:00,collision,motorcycle,Triq Dawret,,0,524
496775,0,2025-05-12 00:00:00,collision,motorcycle,"Valley Road, Zebbug",Valley Road,0,484
496776,0,2025-07-29 00:00:00,collision,motorcycle,Malaguti Madison,,0,569
496777,0,2025-04-06 18:00:00,collision,motorcycle,Triq il-Buqana,,0,526
496778,0,2025-04-15 08:00:00,collision,van,"Kona, Triq Aldo Moro",,0,654
496779,0,2025-07-23 00:00:00,collision,van,Mosta Road,Mosta Road,0,903
496780,0,2025-08-03 08:00:00,collision,motorcycle,Kawazaki,,0,582
496781,0,2025-06-11 15:00:00,collision,motorcycle,"John Adye Street, Bosnia and Herzegovina",John Adye Street,0,563
496782,0,2024-12-28 08:00:00,collision,,"St James Square, Zabbar",St James Square,0,939
496783,0,2025-03-16 08:00:00,collision,motorcycle,"the Coast Road, Naxxar",the Coast Road,0,525
496784,0,2025-04-22 00:00:00,collision,,"Cospicua Seafront, Cospicua",,0,451
496785,0,2025-05-08 00:00:00,collision,,"Zabbar Road, Ghajnsielem",Zabbar Road,0,471
496786,0,2025-06-13 18:00:00,collision,motorcycle,,,0,456
496787,0,2025-09-21 00:00:00,collision,,"Sa Maison Street, Valletta",Sa Maison Street,0,466
496788,0,2025-04-17 00:00:00,collision,,Luqa Road,Luqa Road,0,454
496789,0,2025-02-21 08:00:00,collision,,Triq il-Bacir,,0,568
496790,0,2024-12-22 00:00:00,collision,,Triq,,0,468
496791,0,2025-02-21 00:00:00,collision,,,,0,484
496792,0,2025-09-13 21:00:00,collision,,Marsa,Magistrate Dr,0,561
496793,0,2025-08-29 15:00:00,collision,car,Triq Emmanuele,,0,588
496794,0,2024-12-13 00:00:00,collision,,Dawret il-Gudja,who at the time was on the side of the road,0,734
496795,0,2025-05-07 00:00:00,collision,,Msida,,0,481
496796,0,2025-05-07 00:00:00,collision,motorcycle,Birzebbuga,,0,537
496797,0,2024-12-27 00:00:00,collision,,Triq Dicembru Tlettax,,0,563
496798,0,2025-05-04 00:00:00,collision,motorcycle,Msida,Magistrate Dr,0,525
496799,0,2025-01-07 21:00:00,collision,car,Attard,Magistrate Dr,0,624
496800,0,2025-10-04 18:00:00,collision,,"San Gwann, Triq Dawret",the Hyundai veered into the opposite lane,0,996
496801,0,2025-06-04 00:00:00,collision,motorcycle,Xatt l-Ghassara tal-Gheneb,,0,506
496802,0,2025-09-17 00:00:00,collision,,Zurrieq,Magistrate Dr,0,592
496803,0,2025-04-18 00:00:00,collision,motorcycle,"Demio, Triq Burmarrad",,0,517
496804,0,2025-07-06 00:00:00,collision,motorcycle,Triq iz-Zejfa,Magistrate Dr,0,569
496805,0,2025-04-17 00:00:00,collision,motorcycle,Tal-Barrani Road,Tal-Barrani Road,0,536
496806,0,2025-05-15 00:00:00,collision,motorcycle,"Regional Road, Rabat",Regional Road,0,496
496807,0,2025-06-19 18:00:00,collision,,Triq L-Imdina,Magistrate Dr,0,774
496808,0,2025-09-16 00:00:00,motorcycle_fall,motorcycle,"Triq San Pawl, St Julian's",old German man who lives in St,0,566
496809,0,2025-04-01 00:00:00,collision,,"Triq San Pawl, Naxxar",,0,452
496810,0,2025-08-18 15:00:00,collision,,"Luqa Road, Zabbar",Luqa Road,0,484
496811,0,2025-09-24 00:00:00,collision,car,Triq Marsalforn,,0,528
496812,0,2025-01-24 21:00:00,collision,motorcycle,Msida,in Mikiel Anton Vassalli Street,0,634
496813,0,2025-02-15 00:00:00,collision,motorcycle,Valley Road,Valley Road,0,502
496814,0,2025-02-19 00:00:00,collision,motorcycle,"Kawazaki ZR750, Marsascala",,0,555
