id,date_time,accident_type,car_type,location
220724,2025-07-14 11:00:00,collision,motorcyclist,Marsaxlokk
167578,2025-07-15 00:00:00,collision,,
141175,2025-07-17 13:15:00,collision,motorcyclist,Gzira
130030,2025-07-16 17:00:00,collision,,Mqabba
226588,2025-07-17 21:00:00,collision,,Birkirkara Valley Road
297731,2025-07-19 16:30:00,collision,,Baluta Bay
455412,2025-07-18 15:00:00,collision,truck,Balluta Bay
450477,2025-07-19 00:00:00,unknown,,
297729,,collision,van,the Regional Road
353524,2025-07-23 00:00:00,collision,motorcycle,Paola
353518,2025-07-23 08:00:00,collision,van,Mosta
353565,2025-07-24 08:00:00,collision,motorcyclist,Naxxar
353525,2025-07-24 08:00:00,rollover,motorcycle,Kawasaki
386207,2025-07-26 08:00:00,unknown,motorcycle,Pembroke
386270,2025-07-27 18:35:00,collision,bus,Fgura
450529,,collision,motorcycle,Sliema
386182,2025-07-27 18:00:00,collision,motorcycle,Valletta
386315,2025-07-27 19:30:00,collision,bus,Hamrun
451726,2025-07-26 08:00:00,collision,bus,Naxxar
467167,2025-07-30 09:15:00,collision,,Malta
467110,2025-07-29 18:00:00,unknown,motorcycle,Zurrieq
489424,2025-08-03 01:00:00,collision,bus,Malta
489339,2025-08-04 18:40:00,collision,bus,Mosta Road
489475,,collision,bus,Zabbar
489370,2025-08-04 15:30:00,collision,motorcycle,Marsa
489720,2025-08-06 00:00:00,collision,motorcycle,Naxxar
489728,2025-08-06 00:00:00,collision,motorcycle,Naxxar
489733,2025-08-07 09:56:00,collision,bus,Santa Venera
490010,2025-08-09 08:00:00,rollover,,San Gwann
489990,2025-08-08 08:00:00,unknown,bus,Santa Venera
489878,2025-08-10 08:00:00,collision,van,Birkirkara
489889,2025-08-10 12:30:00,collision,van,Birkirkara
489884,2025-08-10 09:00:00,collision,van,Floriana
490008,2025-08-10 08:00:00,collision,bus,
490101,2025-08-11 05:20:00,collision,van,Nepal
490073,2025-08-11 12:00:00,collision,van,Nepal
489993,2025-08-10 19:00:00,collision,motorcycle,San Gwann
490183,2025-08-12 08:00:00,collision,,Hamrun
490165,2025-08-12 08:00:00,collision,,Guardamangia
490160,2025-08-10 05:25:00,collision,motorcycle,Nepal
490329,2025-08-13 00:00:00,collision,truck,Nepal
490371,2025-08-14 08:00:00,collision,motorcyclist,Pembroke
490568,2025-08-14 05:30:00,collision,motorcyclist,Pembroke
490632,2025-08-17 00:00:00,rollover,truck,Nepali
490684,2025-08-17 15:00:00,collision,motorcycle,Naxxar
490653,2025-08-14 08:00:00,collision,motorcycle,Primavalle
490697,2025-08-18 00:00:00,collision,truck,UK
490746,2025-08-18 00:00:00,collision,,Santa Venera
490815,2025-08-18 08:00:00,pedestrian,truck,Zabbar
491011,2025-08-21 08:00:00,collision,bus,
491118,2025-08-21 06:00:00,collision,bus,Malta
491226,2025-08-22 08:00:00,collision,motorcyclist,Msida
491307,2025-08-23 15:00:00,collision,motorcycle,Msida
491334,2025-08-24 00:00:00,collision,motorcyclist,Paola
491371,2025-08-21 00:00:00,collision,bus,
491489,2025-08-22 05:30:00,collision,motorcyclist,Birkirkara
491557,2025-08-26 05:10:00,collision,,
491707,2025-08-26 18:00:00,collision,motorcyclist,Zebbug
491720,2025-08-27 08:00:00,collision,motorcycle,Bay
492026,2025-08-29 08:00:00,collision,motorcycle,Bay
492029,2025-08-27 21:00:00,collision,truck,St Julian's
492115,2025-08-29 15:00:00,collision,motorcyclist,Marsa
492291,2025-08-31 08:00:00,collision,,
492646,2025-09-03 15:00:00,collision,truck,Augusta
492654,2025-09-03 18:00:00,collision,truck,Tributes
492806,2025-09-04 15:00:00,collision,,Zurrieq
492962,,collision,truck,Janice
493044,2025-09-07 15:00:00,collision,motorcyclist,Luqa.
493372,2025-09-11 08:00:00,unknown,motorcycle,Msida
493542,2025-09-12 15:00:00,collision,bus,Marsa
493598,2025-09-12 15:00:00,collision,,
493702,2025-09-14 00:00:00,unknown,motorcyclist,Zabbar
493664,2025-09-13 21:00:00,collision,,Paola
493670,2025-09-13 21:00:00,collision,motorcycle,Msida
493898,2025-09-16 15:00:00,collision,,Republic Street
493983,2025-09-16 18:00:00,collision,toyota,Zabbar
494102,2025-09-17 00:00:00,collision,truck,Bay
494209,2025-09-18 18:00:00,collision,motorcyclist,Zabbar
494363,2025-09-20 13:30:00,collision,,Gozo
494368,2025-09-20 13:30:00,collision,motorcycle,Gozo
494438,2025-09-21 08:30:00,collision,,
494571,2025-09-22 18:00:00,collision,motorcycle,San Gwann
494727,2025-09-24 08:00:00,collision,toyota,Sta Venera
494856,2025-09-25 15:00:00,collision,motorcycle,Rabat
494910,2025-09-25 18:00:00,collision,motorcyclist,Marsascala
495320,2025-09-30 00:00:00,collision,,
495442,2025-10-02 15:00:00,collision,bus,
495504,2025-10-02 08:00:00,collision,motorcyclist,Qala
495595,2025-10-02 16:20:00,unknown,truck,Croatia
495731,2025-10-04 16:20:00,collision,truck,Croatia
495807,2025-10-04 23:00:00,collision,,San Gwann
495802,,collision,truck,Malta
495896,2025-10-02 00:00:00,collision,truck,Croatia
495942,2025-10-06 00:00:00,collision,motorcycle,Bay
496006,2025-10-07 15:00:00,collision,motorcycle,
495969,,collision,truck,Kerala
496158,2025-10-04 09:30:00,collision,,Croatia
496202,2025-10-09 08:00:00,collision,motorcyclist,Zurrieq
496362,2025-10-10 09:00:00,collision,toyota,Ghajnsielem
496773,2025-10-09 00:00:00,collision,toyota,Zurrieq
496774,2025-06-19 00:00:00,collision,motorcycle,Gudja
496775,2025-05-12 00:00:00,collision,motorcycle,Valley Road
496776,2025-07-29 00:00:00,collision,motorcycle,Zurrieq
496777,2025-04-06 18:00:00,collision,motorcycle,Santa Lucija
496778,2025-04-15 08:00:00,collision,van,Marsa
496779,2025-07-23 00:00:00,collision,van,Mosta Road
496780,,collision,motorcycle,Zabbar
496781,2025-06-11 15:00:00,collision,motorcycle,Naxxar
496782,2024-12-28 08:00:00,collision,,Zabbar
496783,,collision,motorcycle,the Coast Road
496784,2025-04-22 00:00:00,collision,,Cospicua Seafront
496785,2025-05-08 00:00:00,collision,,Ghajnsielem
496786,2025-06-13 18:00:00,collision,motorcycle,Xewkija
496787,2025-09-21 00:00:00,collision,,Valletta
496788,2025-04-17 00:00:00,collision,,Santa Lucija
496789,,collision,toyota,Triq il-Bacir
496790,2024-12-22 00:00:00,collision,,
496791,2025-02-21 00:00:00,collision,,Floriana
496792,2025-09-13 21:00:00,collision,,Marsa
496793,2025-08-29 15:00:00,collision,motorcycle,Marsa
496794,2024-12-13 00:00:00,collision,,Gudja
496795,2025-05-07 00:00:00,collision,,Msida
496796,2025-05-07 00:00:00,collision,motorcycle,Birzebbuga
496797,2024-12-27 00:00:00,collision,toyota,Zabbar
496798,2025-05-04 00:00:00,collision,motorcycle,Msida
496799,,collision,,Attard
496800,2025-10-04 18:00:00,collision,,Gudja
496801,2025-06-04 00:00:00,collision,motorcycle,Xatt l-Ghassara
496802,2025-09-17 00:00:00,collision,toyota,Zurrieq
496803,2025-04-18 00:00:00,collision,motorcycle,Bay
496804,2025-07-06 00:00:00,collision,motorcycle,Birkirkara
496805,2025-04-17 00:00:00,collision,motorcycle,Zejtun
496806,2025-05-15 00:00:00,collision,motorcycle,Rabat
496807,2025-06-19 18:00:00,collision,,Dingli
496808,2025-09-16 00:00:00,unknown,motorcycle,Birkirkara
496809,2025-04-01 00:00:00,collision,,Naxxar
496810,2025-08-18 15:00:00,collision,,Zabbar
496811,2025-09-24 00:00:00,collision,toyota,Santa Venera
496812,,collision,motorcycle,Birkirkara
496813,2025-02-15 00:00:00,collision,motorcycle,Valley Road
496814,2025-02-19 00:00:00,collision,motorcycle,Marsascala
496815,2025-02-09 00:00:00,collision,,Marsascala
496816,,collision,motorcycle,Paola
496817,2025-07-01 00:00:00,collision,,Ghajnsielem
496818,,collision,bus,Marsaskala
496819,2025-02-01 00:00:00,collision,motorcycle,Fgura
