person_id,article_id,age,age_span,gender,gender_span,severity,severity_span,is_driver,is_driver_span,vehicle_type,vehicle_type_span,person_state,person_state_span
203,496871,68,"(56, 61)",male,"(61, 62)",none,,True,"(40, 61)",truck,"(40, 61)",,
204,496872,25,"(41, 46)",male,"(60, 61)",none,,True,"(58, 63)",van,"(58, 63)",,
205,496872,36,"(83, 88)",,,none,,False,,,,,
206,496873,54,"(32, 37)",male,"(96, 97)",serious,"(113, 114)",True,"(72, 80)",motorcycle,"(72, 80)",,
207,496874,25,"(113, 118)",female,"(146, 147)",minor,"(148, 149)",True,"(107, 118)",van,"(107, 118)",,
208,496874,,,,,serious,"(4, 5)",True,"(28, 29)",,"(28, 29)",,
209,496875,35,"(25, 30)",male,"(40, 41)",none,,True,"(34, 43)",car,"(34, 43)",,
210,496875,28,"(84, 89)",male,"(95, 96)",serious,"(102, 103)",False,,,,,
211,496876,28,"(49, 54)",male,"(75, 76)",serious,"(81, 82)",True,"(44, 54)",motorcycle,"(44, 54)",,
212,496876,32,"(34, 39)",,,none,,False,,,,,
213,496877,51,"(59, 64)",male,"(90, 91)",serious,"(97, 98)",True,"(50, 64)",motorcycle,"(50, 64)",,
214,496877,47,"(38, 43)",male,"(44, 45)",none,,False,,,,,
215,496878,57,"(41, 46)",female,"(84, 85)",serious,"(90, 91)",False,,,,,
216,496878,52,"(57, 62)",male,"(62, 63)",none,,True,"(52, 62)",car,"(52, 62)",,
217,496879,52,"(1, 6)",male,"(62, 63)",serious,"(80, 81)",True,"(47, 55)",motorcycle,"(47, 55)",,
218,496880,78,"(34, 39)",female,"(51, 52)",serious,"(81, 82)",True,"(45, 54)",car,"(45, 54)",,
219,496881,64,"(39, 44)",male,"(36, 37)",minor,"(110, 111)",False,,,,,
220,496881,,,female,"(102, 103)",serious,"(104, 105)",False,,,,,
221,496881,59,"(67, 72)",male,"(72, 73)",none,,True,"(59, 72)",car,"(59, 72)",,
222,496882,17,"(83, 88)",male,"(95, 96)",serious,"(101, 102)",True,"(48, 67)",motorcycle,"(48, 67)",,
223,496882,41,"(43, 48)",male,"(48, 49)",none,,False,,,,,
224,496883,62,"(44, 49)",male,"(49, 50)",none,,True,"(39, 49)",car,"(39, 49)",,
225,496883,41,"(78, 83)",female,"(83, 84)",none,,False,,,,,
