person_id,article_id,age,gender,severity,is_driver,vehicle_type,person_state
201,1380,34,,,False,,
202,1352,39,male,grievous,True,motorcycle,
203,1286,,,grievous,True,motorcycle,
204,1286,34,male,,False,,
205,1286,29,,,False,,
206,1275,54,female,,True,car,
207,1275,62,,,True,motorcycle,
208,1227,22,female,grievous,True,motorcycle,
209,1227,19,female,,False,,
210,1165,,female,grievous,False,,
211,1034,29,male,grievous,True,,
212,1015,37,male,grievous,True,motorcycle,
213,1015,65,male,,True,car,
214,974,5,male,serious,False,,
215,974,22,male,,True,car,
216,964,35,male,fatal,True,car,
217,933,35,female,fatal,True,motorcycle,
218,760,62,,serious,True,car,
219,751,,male,serious,True,motorcycle,
220,751,21,,,False,,
221,751,,,,False,,
222,685,22,female,light,True,car,
223,685,,male,grievous,True,car,
224,685,2,,,False,,
225,685,21,male,,False,,
226,685,,male,,False,,
227,679,39,male,grievous,True,motorcycle,
228,679,36,female,,True,car,
229,640,43,,fatal,True,motorcycle,
230,654,67,male,fatal,False,,
231,654,43,male,fatal,False,,
232,654,,male,,False,,
233,607,,,fatal,False,,
234,607,,,,False,,
235,522,64,male,grievous,False,,
236,404,53,male,grievous,True,car,
237,404,32,,fatal,True,,
238,404,53,,,True,,
239,404,,female,serious,False,,
240,407,53,male,,True,,
241,408,28,female,grievous,False,,
242,408,57,male,serious,True,car,
243,408,32,male,fatal,False,,
244,408,,,,False,,
245,416,,female,serious,True,car,
246,381,64,male,serious,True,motorcycle,
247,381,23,male,,False,,
248,381,53,,grievous,True,motorcycle,
249,381,57,female,,False,,
250,370,32,male,fatal,False,,
251,361,57,female,fatal,False,,
252,361,52,male,,True,car,
253,313,23,female,,True,,
254,287,,male,,False,,
255,287,,female,,False,,
256,113265,,male,grievous,True,motorcycle,
257,113265,23,male,,True,car,
258,113265,46,male,,False,,
259,190828,30,male,serious,True,motorcycle,
260,190828,34,female,,True,car,
261,139548,,male,grievous,True,motorcycle,
262,139548,40,female,,True,car,
263,139548,45,male,,False,,
264,102356,,,,False,,
265,102356,46,male,,False,,
266,102356,,male,,False,,
267,102356,,,,False,,
268,102356,,,,True,,
269,102356,,,,False,,
270,220724,30,,serious,True,motorcycle,
271,220724,35,,,True,motorcycle,
272,167578,,male,,True,car,
273,167578,,,,False,,
274,167578,,female,,False,,
275,167578,,male,,False,,
276,167578,,,grievous,False,,
277,167578,32,,,False,,
278,167578,,,grievous,False,,
279,167578,,female,,False,,
280,167578,,,,False,,
281,141175,,female,grievous,True,car,
282,130030,70,female,serious,False,,
283,226588,17,male,serious,False,,
284,226588,41,,,True,car,
285,297731,18,male,critical,False,,
286,297731,18,female,grievous,False,,
287,455412,,male,serious,False,,
288,450477,16,male,fatal,False,,
289,297729,22,male,,False,,
290,297729,,male,,True,,
291,353524,,male,fatal,True,,
292,353524,,male,,True,motorcycle,
293,353524,,,,False,,
294,353524,,,,False,,
295,353518,81,male,,False,,
296,353518,79,female,fatal,False,,
297,353518,24,male,,True,,
298,353518,,,,False,,
299,353565,,male,grievous,True,motorcycle,
300,353525,40,male,serious,True,motorcycle,
301,353525,33,female,,False,,
302,386207,27,male,fatal,True,motorcycle,
303,386207,22,male,,True,car,
304,386270,71,female,fatal,False,,
305,386270,23,female,,False,,
306,450529,34,,,True,motorcycle,
307,450529,71,male,,True,car,
308,386182,,female,fatal,True,motorcycle,
309,386182,58,male,fatal,True,motorcycle,
310,386182,,female,fatal,False,,
311,386182,23,male,,True,car,
312,386182,69,male,,False,,
313,386315,62,female,fatal,False,,
314,386315,58,male,fatal,False,,
315,386315,23,male,,False,,
316,386315,,,fatal,False,,
317,386315,71,female,fatal,False,,
318,386315,23,female,,False,,
319,451726,63,male,fatal,False,,
320,451726,27,,,True,motorcycle,
321,451726,23,female,fatal,False,,
322,451726,,,fatal,True,motorcycle,
323,467167,23,male,fatal,True,,
324,467167,62,female,,False,,
325,467167,69,male,,False,,
326,467110,,male,serious,True,motorcycle,
327,467110,29,male,,True,car,
328,467110,42,male,,False,,
329,489424,79,female,fatal,False,,
330,489424,62,male,critical,False,,
331,489424,,,,True,motorcycle,
332,489424,,,,False,,
333,489424,,,,False,,
334,489424,,,,True,car,drunk
335,489424,,female,,False,,
336,489424,2,male,fatal,False,,
337,489339,67,male,,True,motorcycle,
338,489339,79,female,,True,car,
339,489475,77,male,serious,False,,
340,489475,71,female,fatal,False,,
341,489475,23,,,False,,
342,489475,42,female,,False,,
343,489370,67,male,serious,True,car,
344,489370,28,male,,True,car,
345,489370,79,female,,False,,
346,489370,36,female,,False,,
347,489720,8,,serious,False,,
348,489720,8,,,True,van,
349,489720,48,,,True,motorcycle,
350,489720,60,,,True,car,
351,489720,23,male,,True,motorcycle,
352,489720,45,male,,False,,
353,489728,8,,serious,True,van,
354,489728,48,,,True,motorcycle,
355,489728,60,,,True,car,
356,489728,23,male,,True,motorcycle,
357,489728,45,male,,False,,
358,489733,,,,True,,
359,490010,25,female,,False,,
360,489990,,,light,True,,
361,489990,42,male,,False,,
362,489878,42,male,fatal,True,motorcycle,
363,489878,17,,,True,,
364,489878,,,fatal,False,,
