article_id,accident_id,date_time,accident_type,location,text_start_char,text_end_char,temperature_2m,precipitation,windspeed_10m,cloud_cover,weather_code
491011,0,2025-08-21 05:30:00,collision,Sliema,0,361,26.3,0.0,13.0,0.0,0.0
491118,0,2025-08-21 00:00:00,unknown,,0,158,26.9,0.0,24.9,0.0,0.0
491118,1,2025-08-21 06:00:00,collision,just,159,2144,26.1,0.0,14.2,0.0,0.0
491226,0,2025-08-22 05:30:00,collision,Birkirkara,0,910,25.3,0.0,13.1,0.0,0.0
491307,0,2025-08-22 05:30:00,collision,Birkirkara,0,786,25.3,0.0,13.1,0.0,0.0
491334,0,2025-08-24 00:00:00,collision,Pembroke,0,868,24.9,0.0,17.3,0.0,0.0
491371,0,2025-08-24 00:00:00,collision,Sliema,0,1869,25.0,0.0,17.3,0.0,0.0
491489,0,2025-08-22 05:30:00,collision,Birkirkara,0,1151,25.3,0.0,13.1,0.0,0.0
491557,0,2025-08-26 05:10:00,collision,Sliema,0,397,22.6,0.0,0.4,100.0,3.0
491707,0,2025-08-26 18:30:00,collision,Zebbug,0,493,25.9,0.0,10.7,100.0,3.0
491720,0,2025-08-27 15:37:00,collision,Bahar,0,1290,29.6,0.0,13.6,0.0,0.0
492026,0,2025-08-29 08:00:00,collision,Bahar,0,1366,27.9,0.0,12.9,0.0,0.0
492029,0,2025-08-27 21:00:00,collision,Rabat,0,1898,25.0,0.0,15.1,0.0,0.0
492115,0,2025-08-29 15:15:00,collision,Marsa,0,600,28.5,0.0,25.0,100.0,3.0
492291,0,2025-08-31 07:30:00,collision,Qormi,0,765,26.8,0.0,14.5,0.0,0.0
492646,0,2025-09-03 15:00:00,collision,,0,888,26.3,0.0,22.9,96.0,3.0
492654,0,2025-09-03 18:00:00,collision,Zebbug,0,891,25.5,0.0,27.1,28.0,1.0
492806,0,2025-09-04 18:15:00,collision,Gzira,0,590,26.6,0.0,3.3,1.0,0.0
492962,0,2025-09-07 21:10:00,collision,,0,1104,25.8,0.0,9.0,26.0,1.0
493044,0,2025-09-07 13:30:00,collision,Luqa,0,539,30.0,0.0,9.8,74.0,2.0
493372,0,2025-09-11 07:30:00,motorcycle_fall,,0,407,26.9,0.0,10.0,52.0,2.0
493542,0,2025-09-12 15:00:00,collision,Marsa,0,1352,28.8,0.0,10.7,2.0,0.0
493598,0,2025-09-12 15:00:00,collision,Marsa,0,555,28.8,0.0,10.7,2.0,0.0
493702,0,2025-09-14 00:00:00,unknown,Zabbar,0,723,24.0,0.0,2.3,0.0,0.0
493664,0,2025-09-13 21:00:00,collision,Marsa,0,501,24.8,0.0,3.1,0.0,0.0
493670,0,2025-09-13 21:00:00,unknown,,0,86,26.0,0.0,6.9,0.0,0.0
493670,1,2025-09-14 23:00:00,collision,,86,345,25.5,0.0,12.4,16.0,0.0
493670,2,2025-09-14 01:30:00,collision,,346,796,25.9,0.0,7.4,0.0,0.0
493898,0,2025-09-16 12:15:00,collision,,0,316,25.5,0.0,6.9,0.0,0.0
493983,0,2025-09-16 23:30:00,collision,Zabbar,0,536,24.6,0.0,5.3,0.0,0.0
494102,0,2025-09-17 00:00:00,collision,St Paul's Bay,0,3568,23.6,0.0,3.9,0.0,0.0
494209,0,2025-09-18 20:45:00,collision,Bormla,0,766,25.9,0.0,11.9,11.0,0.0
494363,0,2025-09-20 13:30:00,collision,Gharb,0,826,25.2,0.0,25.2,2.0,0.0
494368,0,2025-09-20 13:30:00,collision,Gharb,0,1157,25.2,0.0,25.2,2.0,0.0
494438,0,2025-09-21 08:30:00,collision,Pieta,0,242,26.1,0.0,8.3,3.0,0.0
494571,0,2025-09-22 19:00:00,collision,San Gwann,0,356,25.4,0.0,7.0,0.0,0.0
494727,0,2025-09-24 08:00:00,collision,Marsalforn,0,292,25.9,0.0,16.9,100.0,3.0
494856,0,2025-09-25 14:15:00,collision,St Julian's,0,505,27.0,0.0,11.0,0.0,0.0
494910,0,2025-09-25 18:00:00,collision,Tarxien,0,516,24.0,0.0,10.0,3.0,0.0
495320,0,2025-09-30 00:00:00,collision,Naxxar,0,1384,22.5,0.0,11.3,97.0,3.0
495442,0,2025-10-02 15:00:00,rollover,Mriehel,0,64,23.5,0.0,27.7,20.0,1.0
495442,1,2025-10-02 00:00:00,collision,,64,543,25.5,0.0,37.2,9.0,0.0
495504,0,2025-10-02 05:30:00,collision,Qala,0,498,22.3,0.3,42.6,40.0,51.0
495595,0,2025-10-02 16:20:00,run-off-road,,0,1044,23.2,0.0,42.6,30.0,1.0
495731,0,2025-10-04 16:20:00,collision,Swieqi,0,2589,21.9,0.0,14.4,1.0,0.0
495807,0,2025-10-04 23:00:00,collision,Gudja,0,776,19.7,0.0,8.0,7.0,0.0
495802,0,2025-10-05 08:00:00,collision,Bugibba,0,3641,23.3,0.0,13.7,77.0,2.0
495896,0,2025-10-02 00:00:00,collision,,0,2123,25.5,0.0,37.2,9.0,0.0
495942,0,2025-10-06 00:00:00,collision,St Paul's Bay,0,2462,23.6,0.1,22.3,35.0,51.0
496006,0,2025-10-07 15:00:00,collision,Saqqajja,0,1260,21.4,0.0,26.2,10.0,0.0
495969,0,2025-10-07 08:00:00,collision,Bugibba,0,2118,20.7,0.0,25.0,2.0,0.0
496158,0,2025-10-04 09:30:00,collision,Balluta,0,3583,21.5,0.0,15.7,35.0,1.0
496202,0,2025-10-09 09:30:00,collision,Zurrieq,0,696,22.7,0.0,3.7,2.0,0.0
496362,0,2025-10-10 09:00:00,collision,Ghajnsielem,0,1231,21.2,0.0,9.3,0.0,0.0
496362,1,2025-10-10 08:00:00,unknown,,1232,1582,22.0,0.0,11.0,0.0,0.0
496773,0,2025-08-31 06:00:00,collision,Valletta,0,644,25.1,0.0,14.6,0.0,0.0
496774,0,2025-04-03 18:00:00,collision,Gudja,0,524,15.5,0.0,5.4,0.0,0.0
496775,0,2025-04-08 16:00:00,collision,Qormi,0,484,15.6,0.1,13.7,100.0,51.0
496776,0,2025-05-15 00:00:00,collision,Hal Ghaxaq,0,569,18.5,0.0,24.6,100.0,3.0
496777,0,2025-01-10 19:00:00,collision,Buqana,0,526,15.8,0.0,27.9,9.0,0.0
496778,0,2025-04-15 08:50:00,collision,Marsa,0,654,21.2,0.0,25.6,96.0,3.0
496779,0,2025-06-10 02:00:00,collision,Mosta,0,903,21.8,0.0,7.4,0.0,0.0
496780,0,2025-08-03 08:15:00,collision,Barrani,0,582,24.7,0.0,21.7,3.0,0.0
496781,0,2025-06-11 15:45:00,collision,Naxxar,0,563,28.1,0.0,6.1,0.0,0.0
